2012-03-05 17:07:48 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\it-nihongo-t09\japanit\cake\libs\model\model.php, line 1329]
2012-03-19 06:57:50 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 180]
2012-03-19 06:57:50 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 182]
2012-03-19 06:57:50 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 204]
2012-03-21 08:09:37 Debug: Notice (8): Undefined variable: id in [C:\wamp\www\itjp-project\views\users\admin_export.ctp, line 18]
2012-03-21 01:27:52 Debug: Notice (8): Undefined variable: status in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 552]
2012-03-21 01:28:58 Debug: Notice (8): Undefined variable: status in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 554]
2012-03-21 01:35:21 Debug: Notice (8): Undefined offset: 0 in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 564]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 25]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: usercode in [C:\wamp\www\itjp-project\views\users\index.ctp, line 26]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: email in [C:\wamp\www\itjp-project\views\users\index.ctp, line 27]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: password in [C:\wamp\www\itjp-project\views\users\index.ctp, line 28]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: fullname in [C:\wamp\www\itjp-project\views\users\index.ctp, line 29]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: company in [C:\wamp\www\itjp-project\views\users\index.ctp, line 30]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 31]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: local_phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 32]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: role in [C:\wamp\www\itjp-project\views\users\index.ctp, line 33]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 35]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 36]
2012-03-23 02:47:29 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 37]
2012-03-23 02:48:41 Debug: Notice (8): Undefined index: Website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 157]
2012-03-23 02:48:41 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 162]
2012-03-23 02:48:41 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 173]
2012-03-23 02:48:41 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 178]
2012-03-23 02:48:41 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 180]
2012-03-23 02:48:41 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 182]
2012-03-23 02:48:41 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 184]
2012-03-23 02:48:41 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 206]
2012-03-23 02:57:08 Debug: Notice (8): Undefined index: Website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 157]
2012-03-23 02:57:08 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 162]
2012-03-23 02:57:08 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 173]
2012-03-23 02:57:08 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 178]
2012-03-23 02:57:08 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 180]
2012-03-23 02:57:08 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 182]
2012-03-23 02:57:08 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 184]
2012-03-23 02:57:08 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 206]
2012-03-23 02:59:19 Debug: Notice (8): Undefined index: Website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 157]
2012-03-23 02:59:19 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 162]
2012-03-23 02:59:19 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 173]
2012-03-23 02:59:19 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 178]
2012-03-23 02:59:19 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 180]
2012-03-23 02:59:19 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 182]
2012-03-23 02:59:19 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 184]
2012-03-23 02:59:19 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 206]
2012-03-23 07:55:56 Debug: Notice (8): Undefined index: website_name in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 178]
2012-03-23 07:55:56 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 180]
2012-03-23 07:55:56 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 182]
2012-03-23 07:55:56 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 184]
2012-03-23 07:55:56 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 206]
2012-03-23 08:06:44 Debug: Notice (8): Undefined index: website_name in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 178]
2012-03-23 08:06:44 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 180]
2012-03-23 08:06:44 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 182]
2012-03-23 08:06:44 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 184]
2012-03-23 08:06:44 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 206]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 25]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: usercode in [C:\wamp\www\itjp-project\views\users\index.ctp, line 26]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: email in [C:\wamp\www\itjp-project\views\users\index.ctp, line 27]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: password in [C:\wamp\www\itjp-project\views\users\index.ctp, line 28]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: fullname in [C:\wamp\www\itjp-project\views\users\index.ctp, line 29]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: company in [C:\wamp\www\itjp-project\views\users\index.ctp, line 30]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 31]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: local_phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 32]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: role in [C:\wamp\www\itjp-project\views\users\index.ctp, line 33]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 35]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 36]
2012-03-23 08:37:22 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 37]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 25]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: usercode in [C:\wamp\www\itjp-project\views\users\index.ctp, line 26]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: email in [C:\wamp\www\itjp-project\views\users\index.ctp, line 27]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: password in [C:\wamp\www\itjp-project\views\users\index.ctp, line 28]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: fullname in [C:\wamp\www\itjp-project\views\users\index.ctp, line 29]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: company in [C:\wamp\www\itjp-project\views\users\index.ctp, line 30]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 31]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: local_phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 32]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: role in [C:\wamp\www\itjp-project\views\users\index.ctp, line 33]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 35]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 36]
2012-03-23 08:37:25 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 37]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 25]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: usercode in [C:\wamp\www\itjp-project\views\users\index.ctp, line 26]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: email in [C:\wamp\www\itjp-project\views\users\index.ctp, line 27]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: password in [C:\wamp\www\itjp-project\views\users\index.ctp, line 28]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: fullname in [C:\wamp\www\itjp-project\views\users\index.ctp, line 29]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: company in [C:\wamp\www\itjp-project\views\users\index.ctp, line 30]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 31]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: local_phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 32]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: role in [C:\wamp\www\itjp-project\views\users\index.ctp, line 33]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 35]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 36]
2012-03-23 08:37:28 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 37]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 25]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: usercode in [C:\wamp\www\itjp-project\views\users\index.ctp, line 26]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: email in [C:\wamp\www\itjp-project\views\users\index.ctp, line 27]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: password in [C:\wamp\www\itjp-project\views\users\index.ctp, line 28]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: fullname in [C:\wamp\www\itjp-project\views\users\index.ctp, line 29]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: company in [C:\wamp\www\itjp-project\views\users\index.ctp, line 30]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 31]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: local_phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 32]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: role in [C:\wamp\www\itjp-project\views\users\index.ctp, line 33]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 35]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 36]
2012-03-23 08:38:10 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 37]
2012-03-23 08:38:12 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 25]
2012-03-23 08:38:12 Debug: Notice (8): Undefined index: usercode in [C:\wamp\www\itjp-project\views\users\index.ctp, line 26]
2012-03-23 08:38:12 Debug: Notice (8): Undefined index: email in [C:\wamp\www\itjp-project\views\users\index.ctp, line 27]
2012-03-23 08:38:12 Debug: Notice (8): Undefined index: password in [C:\wamp\www\itjp-project\views\users\index.ctp, line 28]
2012-03-23 08:38:12 Debug: Notice (8): Undefined index: fullname in [C:\wamp\www\itjp-project\views\users\index.ctp, line 29]
2012-03-23 08:38:12 Debug: Notice (8): Undefined index: company in [C:\wamp\www\itjp-project\views\users\index.ctp, line 30]
2012-03-23 08:38:12 Debug: Notice (8): Undefined index: phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 31]
2012-03-23 08:38:12 Debug: Notice (8): Undefined index: local_phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 32]
2012-03-23 08:38:12 Debug: Notice (8): Undefined index: role in [C:\wamp\www\itjp-project\views\users\index.ctp, line 33]
2012-03-23 08:38:13 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 35]
2012-03-23 08:38:13 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 36]
2012-03-23 08:38:13 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 37]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 25]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: usercode in [C:\wamp\www\itjp-project\views\users\index.ctp, line 26]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: email in [C:\wamp\www\itjp-project\views\users\index.ctp, line 27]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: password in [C:\wamp\www\itjp-project\views\users\index.ctp, line 28]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: fullname in [C:\wamp\www\itjp-project\views\users\index.ctp, line 29]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: company in [C:\wamp\www\itjp-project\views\users\index.ctp, line 30]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 31]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: local_phone in [C:\wamp\www\itjp-project\views\users\index.ctp, line 32]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: role in [C:\wamp\www\itjp-project\views\users\index.ctp, line 33]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 35]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 36]
2012-03-23 08:38:19 Debug: Notice (8): Undefined index: id in [C:\wamp\www\itjp-project\views\users\index.ctp, line 37]
2012-03-24 01:52:29 Debug: Notice (8): Undefined index: role in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 352]
2012-03-24 01:52:29 Debug: Notice (8): Undefined index: website_count in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 372]
2012-03-28 06:44:28 Debug: Notice (8): Undefined offset: 0 in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 126]
2012-03-28 06:44:28 Debug: Notice (8): Undefined offset: 1 in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 126]
2012-03-28 06:44:28 Debug: Notice (8): Undefined offset: 2 in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 126]
2012-03-28 06:44:28 Debug: Notice (8): Undefined offset: 3 in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 126]
2012-03-28 06:44:28 Debug: Notice (8): Undefined offset: 4 in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 126]
2012-03-28 17:14:51 Debug: Notice (8): Undefined property: View::$Csv in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 5]
2012-03-28 17:15:38 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 10]
2012-03-28 17:15:38 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 11]
2012-03-28 17:15:38 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 12]
2012-03-28 17:15:38 Debug: Notice (8): Undefined index: Company in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 13]
2012-03-28 17:15:38 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 14]
2012-03-28 17:15:38 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 15]
2012-03-28 17:15:38 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 16]
2012-03-28 17:15:38 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 17]
2012-03-28 17:15:38 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 18]
2012-03-28 17:17:15 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 10]
2012-03-28 17:17:15 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 11]
2012-03-28 17:17:15 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 12]
2012-03-28 17:17:15 Debug: Notice (8): Undefined index: Company in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 13]
2012-03-28 17:17:15 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 14]
2012-03-28 17:17:15 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 15]
2012-03-28 17:17:15 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 16]
2012-03-28 17:17:15 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 17]
2012-03-28 17:17:15 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 18]
2012-03-28 17:18:33 Debug: Notice (8): Undefined index: Requester in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 10]
2012-03-28 17:18:33 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 11]
2012-03-28 17:18:33 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 12]
2012-03-28 17:18:33 Debug: Notice (8): Undefined index: Company in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 13]
2012-03-28 17:18:33 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 14]
2012-03-28 17:18:33 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 15]
2012-03-28 17:18:33 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 16]
2012-03-28 17:18:33 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 17]
2012-03-28 17:18:33 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 18]
2012-03-28 17:18:33 Debug: Notice (8): Undefined variable: usercode in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 19]
2012-03-28 17:21:58 Debug: Notice (8): Undefined index: Requester in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 9]
2012-03-28 17:21:58 Debug: Notice (8): Undefined index: User in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 12]
2012-03-28 17:21:58 Debug: Notice (8): Undefined index: Room in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 13]
2012-03-28 17:21:58 Debug: Notice (8): Undefined index: Request in [C:\wamp\www\itjp-project\views\requests\admin_csvexport.ctp, line 14]
